gender,head_size,brain_weight
1,4512,1530
1,3738,1297
1,4261,1335
1,3777,1282
1,4177,1590
1,3585,1300
1,3785,1400
1,3559,1255
1,3613,1355
1,3982,1375
1,3443,1340
1,3993,1380
1,3640,1355
1,4208,1522
1,3832,1208
1,3876,1405
1,3497,1358
1,3466,1292
1,3095,1340
1,4424,1400
1,3878,1357
1,4046,1287
1,3804,1275
1,3710,1270
1,4747,1635
1,4423,1505
1,4036,1490
1,4022,1485
1,3454,1310
1,4175,1420
1,3787,1318
1,3796,1432
1,4103,1364
1,4161,1405
1,4158,1432
1,3814,1207
1,3527,1375
1,3748,1350
1,3334,1236
1,3492,1250
1,3962,1350
1,3505,1320
1,4315,1525
1,3804,1570
1,3863,1340
1,4034,1422
1,4308,1506
1,3165,1215
1,3641,1311
1,3644,1300
1,3891,1224
1,3793,1350
1,4270,1335
1,4063,1390
1,4012,1400
1,3458,1225
1,3890,1310
1,4166,1560
1,3935,1330
1,3669,1222
1,3866,1415
1,3393,1175
1,4442,1330
1,4253,1485
1,3727,1470
1,3329,1135
1,3415,1310
1,3372,1154
1,4430,1510
1,4381,1415
1,4008,1468
1,3858,1390
1,4121,1380
1,4057,1432
1,3824,1240
1,3394,1195
1,3558,1225
1,3362,1188
1,3930,1252
1,3835,1315
1,3830,1245
1,3856,1430
1,3249,1279
1,3577,1245
1,3933,1309
1,3850,1412
1,3309,1120
1,3406,1220
1,3506,1280
1,3907,1440
1,4160,1370
1,3318,1192
1,3662,1230
1,3899,1346
1,3700,1290
1,3779,1165
1,3473,1240
1,3490,1132
1,3654,1242
1,3478,1270
1,3495,1218
1,3834,1430
1,3876,1588
1,3661,1320
1,3618,1290
1,3648,1260
1,4032,1425
1,3399,1226
1,3916,1360
1,4430,1620
1,3695,1310
1,3524,1250
1,3571,1295
1,3594,1290
1,3383,1290
1,3499,1275
1,3589,1250
1,3900,1270
1,4114,1362
1,3937,1300
1,3399,1173
1,4200,1256
1,4488,1440
1,3614,1180
1,4051,1306
1,3782,1350
1,3391,1125
1,3124,1165
1,4053,1312
1,3582,1300
1,3666,1270
1,3532,1335
1,4046,1450
1,3667,1310
2,2857,1027
2,3436,1235
2,3791,1260
2,3302,1165
2,3104,1080
2,3171,1127
2,3572,1270
2,3530,1252
2,3175,1200
2,3438,1290
2,3903,1334
2,3899,1380
2,3401,1140
2,3267,1243
2,3451,1340
2,3090,1168
2,3413,1322
2,3323,1249
2,3680,1321
2,3439,1192
2,3853,1373
2,3156,1170
2,3279,1265
2,3707,1235
2,4006,1302
2,3269,1241
2,3071,1078
2,3779,1520
2,3548,1460
2,3292,1075
2,3497,1280
2,3082,1180
2,3248,1250
2,3358,1190
2,3803,1374
2,3566,1306
2,3145,1202
2,3503,1240
2,3571,1316
2,3724,1280
2,3615,1350
2,3203,1180
2,3609,1210
2,3561,1127
2,3979,1324
2,3533,1210
2,3689,1290
2,3158,1100
2,4005,1280
2,3181,1175
2,3479,1160
2,3642,1205
2,3632,1163
2,3069,1022
2,3394,1243
2,3703,1350
2,3165,1237
2,3354,1204
2,3000,1090
2,3687,1355
2,3556,1250
2,2773,1076
2,3058,1120
2,3344,1220
2,3493,1240
2,3297,1220
2,3360,1095
2,3228,1235
2,3277,1105
2,3851,1405
2,3067,1150
2,3692,1305
2,3402,1220
2,3995,1296
2,3318,1175
2,2720,955
2,2937,1070
2,3580,1320
2,2939,1060
2,2989,1130
2,3586,1250
2,3156,1225
2,3246,1180
2,3170,1178
2,3268,1142
2,3389,1130
2,3381,1185
2,2864,1012
2,3740,1280
2,3479,1103
2,3647,1408
2,3716,1300
2,3284,1246
2,4204,1380
2,3735,1350
2,3218,1060
2,3685,1350
2,3704,1220
2,3214,1110
2,3394,1215
2,3233,1104
2,3352,1170
2,3391,1120
